scraped_at,tab,load_id,pay,pickup_location,pickup_time,delivery_location,delivery_time,dhpu,loaded,notes,total_miles,rate_per_mile,score,deadhead_miles
2026-06-19T19:42:28.749285,WG,72105416,"$4,262.94","LITTLETON, CO",,"KENNEDY SPACE CENTER, FL",,"1,883","1,915",NO NOTES,3798,1.12,7,
2026-06-19T19:42:31.817228,WG,72105114,"$1,614.08","KENNEDY SPACE CENTER, FL",,"NEW ORLEANS, LA",,139,680,NO NOTES,819,1.97,29,
2026-06-19T19:42:35.344996,WG,72105417,"$3,275.05","BLOOMINGTON, IN",,"DURHAM, NC",,976,633,NO NOTES,1609,2.04,32,
2026-06-19T19:42:38.898991,WG,72104732,"$2,379.87","NEW BRUNSWICK, NJ",,"NEW BRUNSWICK, NJ",,"1,104",820,BRCOAR: TRAILER MUST BE EMPTY OUTSIDE OF EQUIPMENT NEEDED TO SECURE. NO PLYWOOD IN TRAILER FLOORS ON REEFER LOADS.,1924,1.24,9,
2026-06-19T19:42:42.204823,WG,72104586,"$3,950.52","LITTLETON, CO",,"ELKTON, MD",,"1,883","1,740",NO NOTES,3623,1.09,6,
2026-06-19T19:42:44.889140,WG,72103493,"$3,792.57","MOUNT VERNON, IN",,"TEMPE, AZ",,879,"1,684",PLEASE ARRIVE AT PICKUP IN RANGE**SET POINT 5C,2563,1.48,17,
2026-06-19T19:42:47.596348,WG,72104776,"$2,316.60","SHEPHERDSVILLE, KY",,"FARMINGDALE, NY",,864,802,BAX5100: MUST HAVE TEAM DRIVERS FOR ALL RUNS NO MATTER WHAT THE MILEAGE IS.,1666,1.39,13,
2026-06-19T19:42:53.189956,WG,72105038,"$1,097.19","BLOOMINGTON, IN",,"MOUNT PROSPECT, IL",,976,260,NO NOTES,1236,0.89,1,
2026-06-19T19:42:56.561089,WG,72105204,"$1,846.87","BLOOMINGTON, IN",,"ROCKFORD, IL",,976,315,NO NOTES,1291,1.43,14,
2026-06-19T19:43:00.513463,WG,72103104,"$2,774.86","BOULDER, CO",,"INDIANAPOLIS, IN",,"1,884","1,101","L1218217: TRAILER MUST BE EMPTY AND NO PERSONAL ITEMS, OR PALLET JACK, SECUREMENT ITEMS ONLY",2985,0.93,2,
2026-06-19T19:43:03.006394,WG,72103105,"$2,774.86","BOULDER, CO",,"INDIANAPOLIS, IN",,"1,884","1,101","L1218217: TRAILER MUST BE EMPTY AND NO PERSONAL ITEMS, OR PALLET JACK, SECUREMENT ITEMS ONLY",2985,0.93,2,
2026-06-19T19:43:05.803204,WG,72104792,$720.08,"MADISON, AL",,"BATESVILLE, MS",,631,205,NO NOTES,836,0.86,1,
2026-06-19T19:43:08.582227,WG,72104952,"$5,201.74","SAINT LOUIS, MO",,"FRESNO, CA",,"1,018","1,948",NO NOTES,2966,1.75,26,
2026-06-19T19:43:11.335801,WG,72104992,"$1,887.04","LEVITTOWN, PA",,"CARY, NC",,"1,070",583,NO NOTES,1653,1.14,6,
2026-06-19T19:43:14.119662,WG,72085451,$966.25,"LOUISVILLE, KY",,"GROVEPORT, OH",,874,217,NO NOTES,1091,0.89,1,
2026-06-19T19:43:16.892297,WG,72086655,"$1,901.24","LA VERGNE, TN",,"LENEXA, KS",,694,586,"CORD11: TRUCK MUST HAVE FULL AMOUNT OF USABLE SPACE FOR THE TRUCK SIZE REQUESTED, 20FT OF USABLE SPACE, 12FT OF USABLE SPACE, 53FT OF USABLE SPACE.",1280,1.49,15,
2026-06-19T19:43:19.614564,WG,72095081,"$1,415.15","MEMPHIS, TN",,"LOCKBOURNE, OH",,766,588,"TRACTOR SHIPMENTS MUST BE ABLE TO ACCOMODATE 26 PALLETS, NEED TO HAVE 53' OF SPACE",1354,1.05,2,
2026-06-19T19:43:22.359563,WG,72105194,"$1,130.15","SHEPHERDSVILLE, KY",,"ITASCA, IL",,864,341,BAX5100: MUST HAVE TEAM DRIVERS FOR ALL RUNS NO MATTER WHAT THE MILEAGE IS.,1205,0.94,1,
2026-06-19T19:43:25.103395,WG,72062679,"$1,143.39","LOUISVILLE, KY",,"OLIVE BRANCH, MS",,874,381,DRIVER NEEDS TO REFERENCE DELIVERY# 232733997 AT PICKUP,1255,0.91,1,
2026-06-19T19:43:27.883780,WG,72100147,"$2,108.02","RENO, NV",,"MONTCLAIR, CA",,"2,854",552,NO NOTES,3406,0.62,2,
2026-06-19T19:43:30.348510,WG,72097146,"$1,921.94","LA VERGNE, TN",,"CARY, NC",,694,529,"CORD11: TRUCK MUST HAVE FULL AMOUNT OF USABLE SPACE FOR THE TRUCK SIZE REQUESTED, 20FT OF USABLE SPACE, 12FT OF USABLE SPACE, 53FT OF USABLE SPACE.",1223,1.57,18,
2026-06-19T19:43:33.093135,WG,72097116,$768.61,"LA VERGNE, TN",,"COLLIERVILLE, TN",,694,219,"CORD11: TRUCK MUST HAVE FULL AMOUNT OF USABLE SPACE FOR THE TRUCK SIZE REQUESTED, 20FT OF USABLE SPACE, 12FT OF USABLE SPACE, 53FT OF USABLE SPACE.",913,0.84,1,
2026-06-19T19:43:35.535809,WG,72098690,$822.90,"BROOKS, KY",,"LA VERGNE, TN",,868,176,IC7875: ENSURE THAT YOU HAVE THE ENTIRE BOL FILLED OUT AT THIS LOCATION.,1044,0.79,1,
2026-06-19T19:43:38.275370,WG,72105072,"$1,073.10","MEMPHIS, TN",,"LOXLEY, AL",,766,390,"L1228142: TRACTOR SHIPMENTS MUST BE ABLE TO ACCOMODATE 26 PALLETS, NEED TO HAVE 53' OF SPACE, NO PALLET JACKS",1156,0.93,1,
2026-06-19T19:43:41.100875,WG,72105337,"$1,710.53","WILMINGTON, DE",,"BROOKHAVEN, NY",,"1,017",198,NO NOTES,1215,1.41,13,
2026-06-19T19:43:43.954304,WG,72105177,$648.03,"INDIANAPOLIS, IN",,"HAMILTON, OH",,998,118,"L1218217: TRAILER MUST BE EMPTY AND NO PERSONAL ITEMS, OR PALLET JACK, SECUREMENT ITEMS ONLY",1116,0.58,1,
2026-06-19T19:43:47.313250,WG,72105045,$703.40,"INDIANAPOLIS, IN",,"BLOOMINGTON, IN",,998,49,"L1218217: TRAILER MUST BE EMPTY AND NO PERSONAL ITEMS, OR PALLET JACK, SECUREMENT ITEMS ONLY",1047,0.67,1,
2026-06-19T19:43:49.866792,WG,72097112,$919.97,"LA VERGNE, TN",,"MEMPHIS, TN",,694,213,"CORD11: TRUCK MUST HAVE FULL AMOUNT OF USABLE SPACE FOR THE TRUCK SIZE REQUESTED, 20FT OF USABLE SPACE, 12FT OF USABLE SPACE, 53FT OF USABLE SPACE.",907,1.01,1,
2026-06-19T19:43:54.604772,WG,72103459,"$2,239.57","MANCHESTER, PA",,"DOTHAN, AL",,"1,003",937,PLEASE BE SURE YOU ARE IN RANGE WHEN YOU ARRIVE AT PICKUP**SET POINT 20C,1940,1.15,6,
2026-06-19T19:43:57.743823,WG,72105975,"$1,116.49","LA VERGNE, TN",,"COLLIERVILLE, TN",,694,219,NO NOTES,913,1.22,7,
2026-06-19T19:44:00.528854,WG,72103458,"$2,239.57","MANCHESTER, PA",,"DOTHAN, AL",,"1,003",937,PLEASE BE SURE YOU ARE IN RANGE WHEN YOU ARRIVE AT PICKUP**SET POINT 5C,1940,1.15,6,
2026-06-19T19:44:04.091428,WG,72105746,"$1,972.83","LYNCHBURG, VA",,"NISKAYUNA, NY",,756,584,NO NOTES,1340,1.47,15,
2026-06-19T19:44:07.181254,WG,72086677,"$1,831.47","LA VERGNE, TN",,"TROY, MI",,694,563,"CORD11: TRUCK MUST HAVE FULL AMOUNT OF USABLE SPACE FOR THE TRUCK SIZE REQUESTED, 20FT OF USABLE SPACE, 12FT OF USABLE SPACE, 53FT OF USABLE SPACE.",1257,1.46,14,
2026-06-19T19:44:10.573366,WG,72104868,"$2,238.17","SAINT LOUIS, MO",,"HOUSTON, TX",,"1,018",776,NO NOTES,1794,1.25,9,
2026-06-19T19:44:13.967168,WG,72104818,"$2,180.32","NIAGARA FALLS, NY",,"LYNCHBURG, VA",,"1,252",518,"US CITIZENS ONLY/ NO DUAL CITIZENS NO GUNS, DRUGS, CAMERAS OR UNAUTHORIZED PASSENGERS. BE PATIENT. NON RADIOACTIVE MTRL DELIVERIES NOT ALLOWING ANY OVERNIGHT PARKING ON PROPERTY/DO NOT GOIN EARLY DRV'S MAY BE PHYSICALLY SEARCHED DRIVERS MUST BE US CITIZENS AND NO DUAL CITIZENSHIP. NO PETS NO WEAPONS NO UNAUTHORIZED PASSENGERS (DECLARE ALL PERSONS IN THE VEHICLE WHEN WE ASK FOR DRIVER INFORMATION) MUST HAVE VALID DRIVER'S LICENSE NO ALCOHOLIC BEVERAGES. **NO OVERNIGHT PARKING HERE **",1770,1.23,8,
2026-06-19T19:44:17.804846,WG,72105131,$877.76,"SHEPHERDSVILLE, KY",,"LA VERGNE, TN",,864,171,BAX5100: MUST HAVE TEAM DRIVERS FOR ALL RUNS NO MATTER WHAT THE MILEAGE IS.,1035,0.85,1,
2026-06-19T19:44:21.633925,WG,72104585,"$2,021.96","RENSSELAER, NY",,"MORRISVILLE, NC",,"1,274",642,NO NOTES,1916,1.06,3,
2026-06-19T19:44:26.363651,WG,72104719,$858.34,"SAINT LOUIS, MO",,"INDIANAPOLIS, IN",,"1,018",237,NO NOTES,1255,0.68,1,
2026-06-19T19:44:30.113408,WG,72096078,$772.20,"MIRA LOMA, CA",,"SANTA MONICA, CA",,"2,484",72,"L1145981: IF PICKING UP AT UPS MIRA LOMA, CA PU IS AT DOOR 2132.",2556,0.30,1,
2026-06-19T19:44:33.925263,WG,72104765,"$1,033.71","MADISON, AL",,"CINCINNATI, OH",,631,403,NO NOTES,1034,1.00,1,
2026-06-19T19:44:36.979922,WG,72097057,"$1,359.55","LOCKBOURNE, OH",,"OLIVE BRANCH, MS",,991,594,NO NOTES,1585,0.86,1,
2026-06-19T19:44:40.011511,WG,72086652,"$1,904.28","LA VERGNE, TN",,"MONROEVILLE, PA",,694,587,"CORD11: TRUCK MUST HAVE FULL AMOUNT OF USABLE SPACE FOR THE TRUCK SIZE REQUESTED, 20FT OF USABLE SPACE, 12FT OF USABLE SPACE, 53FT OF USABLE SPACE.",1281,1.49,15,
2026-06-19T19:44:42.892911,WG,72102000,"$1,631.62","SHEPHERDSVILLE, KY",,"DOTHAN, AL",,864,538,NO NOTES,1402,1.16,6,
2026-06-19T19:44:45.998274,WG,72104757,"$2,464.14","BROOKS, KY",,"WESTBURY, NY",,868,787,IC7875: ENSURE THAT YOU HAVE THE ENTIRE BOL FILLED OUT AT THIS LOCATION.,1655,1.49,16,
2026-06-19T19:44:49.380320,WG,72103580,"$1,909.37","MOUNT VERNON, IN",,"SHREVEPORT, LA",,879,632,PLEASE ARRIVE AT THE PICKUP IN RANGE*SET POINT 5C,1511,1.26,9,
2026-06-19T19:44:53.015196,WG,72098877,"$1,987.03","ROANOKE, TX",,"LITTLETON, CO",,"1,137",751,7 DIFFERENT SMALL LIMITTED QUANTITY PIECES THAT ARE HAZMAT 2 ACETONE UN1090 HC3 1 UN1193 HC3 1 UN1219 HC 3 1 UN3288 HC 6.1 1 UN2789 HC 8(3) 1 UN2320 UN2320 HC 8,1888,1.05,3,
2026-06-19T19:44:56.654086,WG,72100201,"$1,153.96","SHEPHERDSVILLE, KY",,"WARRENDALE, PA",,864,417,BAX5100: MUST HAVE TEAM DRIVERS FOR ALL RUNS NO MATTER WHAT THE MILEAGE IS.,1281,0.90,1,
2026-06-19T19:45:00.112030,WG,72098033,"$1,157.11","GROVE CITY, OH",,"WARRENDALE, PA",,"1,009",203,"PR2297: IF PALLET JACK REQUESTED NEED TO MAKE SURE IT'S ACCESSIBLE TO OFFLOAD TRK. DRIVERS MAY NEED TO OFFLOAD TRK TO DOCK AT DELIVERIES, ESPECIALLY NC AND FL.",1212,0.95,1,
2026-06-19T19:45:04.520081,WG,72098036,"$1,157.11","GROVE CITY, OH",,"WARRENDALE, PA",,"1,009",203,"PR2297: IF PALLET JACK REQUESTED NEED TO MAKE SURE IT'S ACCESSIBLE TO OFFLOAD TRK. DRIVERS MAY NEED TO OFFLOAD TRK TO DOCK AT DELIVERIES, ESPECIALLY NC AND FL.",1212,0.95,1,
2026-06-19T19:45:08.019469,WG,72098740,"$1,230.92","BROOKS, KY",,"COLLIERVILLE, TN",,868,360,IC7875: ENSURE THAT YOU HAVE THE ENTIRE BOL FILLED OUT AT THIS LOCATION.,1228,1.00,1,
2026-06-19T19:45:10.801316,WG,72098735,"$1,381.13","BROOKS, KY",,"ELK GROVE VILLAGE, IL",,868,337,IC7875: ENSURE THAT YOU HAVE THE ENTIRE BOL FILLED OUT AT THIS LOCATION.,1205,1.15,5,
2026-06-19T19:45:13.613262,WG,72097053,"$1,188.85","BROOKS, KY",,"OLIVE BRANCH, MS",,868,374,NO NOTES,1242,0.96,1,
2026-06-19T19:45:16.788532,WG,72097045,"$1,259.14","LOCKBOURNE, OH",,"CHESTERFIELD, MO",,991,463,NO NOTES,1454,0.87,1,
2026-06-19T19:45:24.220598,SE,72105878,"$1,196.14","SPRINGFIELD GARDENS, NY",,"RICHMOND, VA",,"1,150",367,NO NOTES,1517,0.79,1,
2026-06-19T19:45:27.705419,SE,72105972,"$1,881.08","RICHARDSON, TX",,"NEW ALBANY, OH",,"1,109","1,061",NO NOTES,2170,0.87,2,
2026-06-19T19:45:30.397996,SE,72105537,"$1,521.51","WEST MIFFLIN, PA",,"SCHENECTADY, NY",,"1,018",469,NO NOTES,1487,1.02,2,
2026-06-19T19:45:33.375648,SE,72105540,$876.69,"BOSTON, MA",,"BOSTON, MA",,"1,353",98,NO NOTES,1451,0.60,1,
2026-06-19T19:45:36.683333,SE,72105792,$559.59,"LOUISVILLE, KY",,"LOUISVILLE, KY",,878,33,NO NOTES,911,0.61,1,
2026-06-19T19:45:39.396932,SE,72098745,$729.30,"BROOKS, KY",,"LOCKBOURNE, OH",,868,222,IC7875: ENSURE THAT YOU HAVE THE ENTIRE BOL FILLED OUT AT THIS LOCATION.,1090,0.67,1,
2026-06-19T20:01:51.697818,WG,72104747,"$2,365.07","SHEPHERDSVILLE, KY",,"HOUSTON, TX",,864,962,BAX5100: ALL TAKEDA LOADS THAT ARE TEMP SHOULD BE TVAL,1826,1.30,10,
2026-06-19T20:03:59.727650,WG,72098777,"$1,620.32","BROOKS, KY",,"CORAOPOLIS, PA",,868,403,IC7875: ENSURE THAT YOU HAVE THE ENTIRE BOL FILLED OUT AT THIS LOCATION.,1271,1.27,9,
2026-06-21T13:02:22.381936,WG,72097498,$670.07,"LA VERNE, CA",,"MONTCLAIR, CA",,"2,500",9,NO NOTES,2509,0.27,1,
2026-06-21T13:03:09.927059,WG,72101171,"$1,522.98","MONTPELIER, VT",,"STRATFORD, CT",,"1,449",253,DRIVER MUST HAVE BIRTH CERTIFICATE OR PASSPORT FOR DELIVERY. THEY WILL TURN THEM AWAY IF THEY DON'T HAVE AT LEAST ONE OF THESE,1702,0.89,1,
2026-06-21T13:03:13.160791,WG,72105474,"$1,255.96","WEST DEPTFORD, NJ",,"CENTRAL ISLIP, NY",,"1,036",160,NO NOTES,1196,1.05,2,
2026-06-21T13:03:16.020044,WG,72105980,"$1,644.03","INDIANAPOLIS, IN",,"DURHAM, NC",,998,611,ALL SHIPMENTS MUST BE DELIVERED TO BUILDING 10,1609,1.02,2,
2026-06-21T13:03:19.623180,WG,72098853,"$1,154.39","PHILADELPHIA, PA",,"RENSSELAER, NY",,"1,059",217,NO NOTES,1276,0.90,1,
2026-06-21T13:03:23.083428,WG,72099009,"$1,089.48","ALLENTOWN, PA",,"RENSSELAER, NY",,"1,078",218,NO NOTES,1296,0.84,1,
2026-06-21T13:03:25.921847,WG,72098864,"$2,386.13","BLOOMINGTON, IN",,"RENSSELAER, NY",,971,840,NO NOTES,1811,1.32,11,
2026-06-21T13:03:28.468848,WG,72105201,"$1,704.23","SAINT LOUIS, MO",,"NEW RICHMOND, WI",,"1,018",599,NO NOTES,1617,1.05,3,
2026-06-21T13:03:31.218498,WG,72103623,"$1,856.97","SHEPHERDSVILLE, KY",,"SHREVEPORT, LA",,864,732,BAX5100: ALL TAKEDA LOADS THAT ARE TEMP SHOULD BE TVAL,1596,1.16,6,
2026-06-21T13:03:33.786192,WG,72105542,"$1,894.67","LA VERGNE, TN",,"ELK GROVE VILLAGE, IL",,694,511,NO NOTES,1205,1.57,18,
2026-06-21T13:03:36.312591,WG,72104755,$858.34,"SAINT LOUIS, MO",,"INDIANAPOLIS, IN",,"1,018",237,NO NOTES,1255,0.68,1,
2026-06-21T13:03:38.922610,WG,72103466,"$1,151.80","MOUNT VERNON, IN",,"OLIVE BRANCH, MS",,879,302,PLEASE BE IN RANGE WHEN YOU ARRIVE AT SHIPPER**SET POINT 5C,1181,0.98,1,
2026-06-21T13:03:41.440810,WG,72099999,$681.74,"SHEPHERDSVILLE, KY",,"LA VERGNE, TN",,864,171,BAX5100: MUST HAVE TEAM DRIVERS FOR ALL RUNS NO MATTER WHAT THE MILEAGE IS.,1035,0.66,1,
2026-06-21T13:03:44.756514,WG,72098243,"$1,611.94","NEWARK, DE",,"ALBANY, NY",,"1,007",274,ORDER NOTE: PALLET JACK NEEDED FOR DRIVER UNLOAD,1281,1.26,9,
2026-06-21T13:03:47.578263,WG,72098785,"$1,456.78","BROOKS, KY",,"KERNERSVILLE, NC",,868,472,IC7875: ENSURE THAT YOU HAVE THE ENTIRE BOL FILLED OUT AT THIS LOCATION.,1340,1.09,4,
2026-06-21T13:03:50.221807,WG,72099567,"$1,397.59","SHEPHERDSVILLE, KY",,"DOTHAN, AL",,864,538,BAX5100: MUST HAVE TEAM DRIVERS FOR ALL RUNS NO MATTER WHAT THE MILEAGE IS.,1402,1.00,1,
2026-06-21T13:03:53.092914,WG,72097541,"$1,981.37","LOCKBOURNE, OH",,"OVERLAND PARK, KS",,991,684,NO NOTES,1675,1.18,7,
2026-06-21T13:03:57.048643,WG,72105538,"$9,483.86","IDAHO FALLS, ID",,"MIAMI, FL",,"2,414","2,632",NO NOTES,5046,1.88,33,
2026-06-21T13:04:06.511933,SE,72105721,$876.69,"BOSTON, MA",,"BOSTON, MA",,"1,353",98,DRIVER MUST CALL AIR EXPEDITE FOR ARRIVALS AND DEPARTURES 800-468-8019,1451,0.60,1,
2026-06-21T13:04:16.786920,SE,72106032,$914.58,"GROVE CITY, OH",,"PLEASANT PRAIRIE, WI",,"1,009",385,NO NOTES,1394,0.66,1,
2026-06-21T13:04:19.881157,SE,72105824,$534.86,"KANSAS CITY, MO",,"KANSAS CITY, MO",,"1,280",65,CSAFE RKN SHIPMENT TO PICK UP FREIGHT. WILL NEED TO FOLLOW SHIPPER ORIGIN INSTRUCTIONS AT ALL LOCATIONS. INSTRUCTIONS WILL BE EMAILED TO YOU,1345,0.40,1,
2026-06-21T16:56:26.715052,WG,72104614,"$2,310.73","LA VERGNE, TN",,"CADILLAC, MI",,694,654,NO NOTES,1348,1.71,22,
2026-06-21T16:59:28.333063,WG,72101846,$890.31,"CARSON, CA",,"COSTA MESA, CA",,"2,530",26,NO NOTES,2556,0.35,1,
2026-06-21T16:59:31.865670,WG,72105548,"$8,455.51","SAN FRANCISCO, CA",,"ROBBINSVILLE, NJ",,"2,829","2,898",NO NOTES,5727,1.48,21,
2026-06-21T22:04:21.223928,SE,72106154,$467.31,"CHICAGO, IL",,"DES PLAINES, IL",,"1,203",5,NO NOTES,1208,0.39,1,
2026-06-21T22:18:06.405473,SE,72078119,"$2,724.33","SOUTH JORDAN, UT",,"TACOMA, WA",,"2,348",864,BASEBALL EQ PCS & WEIGHT WILL VARY/ MAY HAVE TO HELP WITH LOADING/UNLOADING EQUIPMENT,3212,0.85,2,
2026-06-22T04:07:48.159127,SE,72106161,$443.26,"SAVANNAH, GA",,"RICHMOND HILL, GA",,333,17,NO NOTES,350,1.27,8,
2026-06-22T05:00:38.552095,WG,72105066,$765.10,"MEMPHIS, TN",,"MEMPHIS, TN",,767,14,NO NOTES,781,0.98,1,
2026-06-22T06:46:52.853004,WG,72106165,"$2,314.52","SPOONER, WI",,"BOLINGBROOK, IL",,"1,577",392,NO NOTES,1969,1.18,7,
2026-06-22T08:03:07.443650,SE,72106142,$632.66,"DECATUR, AL",,"LOUISVILLE, KY",,623,283,NO NOTES,906,0.70,1,
2026-06-22T08:13:18.531137,SE,72106191,"$2,550.26","FRISCO, TX",,"GLEN ALLEN, VA",,"1,126","1,267",NO NOTES,2393,1.07,4,
2026-06-22T08:38:21.591878,WG,72106146,"$1,167.06","WARTBURG, TN",,"COLLEGE PARK, GA",,671,219,NO NOTES,890,1.31,10,
2026-06-22T09:20:13.182651,WG,72106143,"$1,059.61","BOSTON, MA",,"BOSTON, MA",,"1,353",77,NO NOTES,1430,0.74,1,
2026-06-22T09:21:18.734238,WG,72106211,"$3,297.58","CORDOVA, IL",,"LYNCHBURG, VA",,"1,251",843,L1238923: NO PETS,2094,1.57,19,
2026-06-22T09:22:45.605687,WG,72106176,"$1,943.73","CALEDONIA, MI",,"ALLENTOWN, PA",,"1,261",667,NO NOTES,1928,1.01,2,
2026-06-22T09:34:20.265346,WG,72105714,"$2,101.10","ROCKFORD, IL",,"BURLINGTON, ON",,"1,253",578,NO NOTES,1831,1.15,6,
2026-06-22T09:48:41.318204,WG,72106222,$870.03,"TRENTON, NJ",,"BREINIGSVILLE, PA",,"1,080",79,NO NOTES,1159,0.75,1,
2026-06-22T10:15:43.811254,WG,72106183,$704.49,"CARY, NC",,"RALEIGH, NC",,658,20,NO NOTES,678,1.04,2,
2026-06-22T10:31:20.926258,SE,72106184,"$4,036.73","SALEM, MA",,"LITTLETON, CO",,"1,368","2,025",ABSOLUTELY NO QOC - DO NOT ASK - STATES THEY WILL NEVER APPROVE A QOC AGAIN,3393,1.19,9,
2026-06-22T10:45:15.541169,WG,72106233,$739.97,"SUMMIT, NJ",,"AYER, MA",,"1,129",228,"ORDER NOTE: BMS-S16_BMS-DEV_1659, PLEASE PRINT OUT THE BOL",1357,0.55,1,
2026-06-22T10:50:36.016083,WG,72106228,"$1,061.40","JOHNSTOWN, PA",,"DELTA, PA",,"1,049",179,NO NOTES,1228,0.86,1,
2026-06-22T10:58:07.716780,WG,72104032,"$1,227.94","INDIANAPOLIS, IN",,"ERIE, PA",,998,409,NO NOTES,1407,0.87,1,
2026-06-22T10:59:23.521106,WG,72105775,"$1,076.30","CORAOPOLIS, PA",,"PITTSBURGH, PA",,"1,025",14,NO NOTES,1039,1.04,2,
2026-06-22T11:00:35.108815,SE,72106229,$629.11,"EXTON, PA",,"HUNT VALLEY, MD",,"1,038",96,NO NOTES,1134,0.55,1,
2026-06-22T11:48:53.114915,WG,72106247,$815.04,"WALKERSVILLE, MD",,"MORRIS PLAINS, NJ",,947,220,NO NOTES,1167,0.70,1,
2026-06-22T11:54:13.173735,WG,72106255,"$9,627.39","RENO, NV",,"WILMINGTON, NC",,"2,853","2,760",NO NOTES,5613,1.72,29,
2026-06-22T11:54:58.107138,WG,72068270,"$1,702.25","LOUISVILLE, KY",,"OVERLAND PARK, KS",,874,527,NO NOTES,1401,1.22,7,
2026-06-22T11:56:45.493569,SE,72106254,$755.98,"MECHANICSBURG, PA",,"MILLBURN, NJ",,"1,009",163,NO NOTES,1172,0.65,1,
2026-06-22T12:01:44.893789,WG,72105990,"$4,315.31","SAN DIEGO, CA",,"OLATHE, KS",,"2,447","1,663",NO NOTES,4110,1.05,5,
2026-06-22T12:02:27.323586,WG,72106256,"$2,305.84","ALBUQUERQUE, NM",,"BOULDER, CO",,"1,739",480,NO NOTES,2219,1.04,3,
2026-06-22T12:16:04.923632,WG,72106250,"$2,040.24","LA VERGNE, TN",,"TROY, MI",,694,568,NO NOTES,1262,1.62,19,
2026-06-22T12:16:16.353166,WG,72106271,"$2,040.24","LA VERGNE, TN",,"TROY, MI",,694,568,NO NOTES,1262,1.62,19,
2026-06-22T12:16:22.263646,WG,72106273,"$2,040.24","LA VERGNE, TN",,"TROY, MI",,694,568,NO NOTES,1262,1.62,19,
2026-06-22T12:17:41.663430,SE,72106258,"$4,294.91","DAYTON, OH",,"LAS VEGAS, NV",,968,"1,947",NO NOTES,2915,1.47,17,
2026-06-22T12:23:24.909024,WG,72106272,"$2,040.24","LA VERGNE, TN",,"TROY, MI",,694,568,NO NOTES,1262,1.62,19,
2026-06-22T12:29:21.198079,WG,72106274,"$1,113.57","LA VERGNE, TN",,"MEMPHIS, TN",,694,213,ORDER NOTE: CONTACT 877-900-9223 FOR DELIVERY,907,1.23,7,
2026-06-22T12:47:16.473610,SE,72106260,"$2,259.18","GLENWOOD, IL",,"CAMDEN, NJ",,"1,157",750,NO NOTES,1907,1.18,7,
